time,midi numbers
0000,16.90562
0000,17.042511
0000,17.180492
0000,17.319584
0000,17.4598
0000,17.601162
0000,17.74369
0000,17.887398
0000,18.03231
0000,18.178444
0000,18.325823
0000,18.47447
0000,18.6244
0000,18.77564
0000,18.928217
0000,19.082148
0000,19.23746
0000,19.394178
0000,19.552328
0000,19.711937
0000,19.873028
0000,20.035635
0000,20.199783
0000,20.365501
0000,20.532822
0000,20.701775
0000,20.872395
0000,21.044712
0000,21.218761
0000,21.39458
0000,21.5722
0000,21.751665
0000,21.933002
0000,22.116268
0000,22.301487
0000,22.488712
0000,22.677986
0000,22.869352
0000,23.062855
0000,23.258545
0000,23.456474
0000,23.656693
0000,23.859253
0000,24.064207
0000,24.271622
0000,24.481548
0000,24.694057
0000,24.909203
0000,25.127054
0000,25.347687
0000,25.571165
0000,25.797564
0000,26.02697
0000,26.259447
0000,26.495092
0000,26.73399
0000,26.97623
0000,27.221909
0000,27.471127
0000,27.72398
0000,27.980583
0000,28.241047
0000,28.505487
0000,28.774033
0000,29.046806
0000,29.323944
0000,29.605598
0000,29.891907
0000,30.18303
0000,30.479134
0000,30.780388
0000,31.086979
0000,31.399097
0000,31.71695
0000,32.04074
0000,32.37071
0000,32.707085
0000,33.050125
0000,33.4001
0000,33.7573
0000,34.122025
0000,34.4946
0000,34.87537
0000,35.264698
0000,35.662987
0000,36.070652
0000,36.48815
0000,36.91597
0000,37.354626
0000,37.80469
0000,38.26676
0000,38.74151
0000,39.229645
0000,39.73194
0000,40.249252
0000,40.782494
0000,41.33268
0000,41.900932
0000,42.48847
0000,43.09665
0000,43.726974
0000,44.38112
0000,45.06096
0000,45.768578
0000,46.50637
0000,47.277008
0000,48.08355
0000,48.929512
0000,49.81894
0000,50.75656
0000,51.74787
0000,52.799416
0000,53.91899
0000,55.115997
0000,56.401966
0000,57.791164
0000,59.301647
0000,60.956623
0000,62.786697
0000,64.833336
0000,67.15477
0000,69.83643
0000,73.01098
0000,76.90136
0000,81.92731
0000,89.038216
0000,101.315216
0000,160.76558
0000,160.76558
0000,160.76558
0000,160.76558
0000,160.76558
0000,160.76558
0000,43.003857
0000,43.009125
0000,43.015194
0000,43.021004
0000,43.02128
0000,43.019173
0000,43.02048
0000,43.022774
0000,43.02129
0000,43.01952
0000,43.020447
0000,55.68495
0000,55.55921
0000,55.332504
0000,55.25577
0000,43.020264
0000,43.020546
0000,43.020977
0000,43.02094
0000,55.05156
0000,54.991173
0000,55.023136
0000,55.05335
0000,55.038284
0000,55.019775
0000,55.055992
0000,55.149406
0000,55.25197
0000,55.31221
0000,55.286716
0000,55.214447
0000,55.19552
0000,55.245018
0000,55.309925
0000,55.34501
0000,55.32915
0000,55.280495
0000,55.26376
0000,55.28912
0000,55.30528
0000,55.259285
0000,55.184006
0000,55.152367
0000,55.176945
0000,55.217594
0000,55.221733
0000,55.15879
0000,55.073265
0000,55.034348
0000,55.04306
0000,55.05852
0000,55.05265
0000,55.04059
0000,55.05474
0000,55.104183
0000,55.16447
0000,55.20098
0000,55.189762
0000,55.151352
0000,55.13788
0000,55.164864
0000,55.204903
0000,55.22735
0000,55.219566
0000,55.19489
0000,55.18688
0000,55.202644
0000,55.21366
0000,55.189217
0000,55.143967
0000,55.120846
0000,55.13404
0000,55.16102
0000,55.166916
0000,55.13127
0000,55.076576
0000,55.04625
0000,55.048584
0000,55.059433
0000,55.057144
0000,55.048103
0000,55.05446
0000,55.086273
0000,55.128998
0000,55.157265
0000,55.152798
0000,55.126915
0000,55.114735
0000,55.1314
0000,55.160397
0000,55.178318
0000,55.1747
0000,55.15837
0000,55.152054
0000,55.162872
0000,55.17224
0000,55.157627
0000,55.12554
0000,55.10605
0000,55.113247
0000,55.133415
0000,55.14052
0000,55.117767
0000,55.077843
0000,55.052113
0000,55.05126
0000,55.059624
0000,55.059273
0000,55.05213
0000,55.031742
0000,55.02559
0000,55.066647
0000,55.115604
0000,55.129955
0000,55.11287
0000,55.095165
0000,55.097496
0000,55.12445
0000,55.15243
0000,55.14779
0000,55.122116
0000,55.122177
0000,55.14115
0000,55.156006
0000,55.15235
0000,55.116592
0000,55.07017
0000,55.04448
0000,55.05123
0000,55.07061
0000,55.0709
0000,55.037853
0000,54.99391
0000,54.969852
0000,54.972553
0000,54.98331
0000,54.984375
0000,54.97912
0000,54.987732
0000,55.019775
0000,55.061333
0000,55.08587
0000,55.076214
0000,55.05053
0000,55.04419
0000,55.070076
0000,55.11162
0000,55.143734
0000,55.14838
0000,55.13765
0000,55.13959
0000,55.154533
0000,55.154694
0000,55.122356
0000,55.075462
0000,55.045868
0000,55.04909
0000,55.068615
0000,55.072777
0000,55.043343
0000,54.99884
0000,54.97127
0000,54.971294
0000,54.982304
0000,54.98487
0000,54.979424
0000,54.985256
0000,55.014717
0000,55.05644
0000,55.084602
0000,55.079033
0000,55.053314
0000,55.0431
0000,55.065445
0000,55.106453
0000,55.141052
0000,55.149254
0000,55.138763
0000,55.13833
0000,55.152866
0000,55.156517
0000,55.127953
0000,55.08107
0000,55.047806
0000,55.04721
0000,55.06639
0000,55.074085
0000,55.04861
0000,55.004074
0000,54.97316
0000,54.970215
0000,54.981136
0000,54.985214
0000,54.97992
0000,54.983192
0000,55.009884
0000,55.05133
0000,55.082733
0000,55.08149
0000,55.05639
0000,55.042572
0000,55.061104
0000,55.101105
0000,55.137875
0000,55.149754
0000,55.140026
0000,55.137306
0000,55.15099
0000,55.157745
