frame,frequency
0,21.70809809693911
1,21.880426615843096
2,22.055513023827086
3,22.233426041062827
4,22.414231132695182
5,22.59800031598173
6,22.784812412045735
7,22.97473305990055
8,23.16784987592629
9,23.364237325807952
10,23.563984696350452
11,23.76718099906082
12,23.973904367352294
13,24.18425885447021
14,24.398340607735832
15,24.616242909510635
16,24.83807243527702
17,25.063938783691174
18,25.293949002010642
19,25.528221493252854
20,25.766869474787143
21,26.01002648243164
22,26.257815472442577
23,26.510368711243117
24,26.767828178255805
25,27.03033705598787
26,27.298048756836064
27,27.57111522578719
28,27.849699077219434
29,28.1339740734315
30,28.42410683998284
31,28.72029122549463
32,29.0227016929978
33,29.331563297997068
34,29.647056330662195
35,29.969416142677503
36,30.298865971318545
37,30.63563978385168
38,30.979979351189858
39,31.33214837506356
40,31.69241964951241
41,32.061071915346
42,32.43840077938567
43,32.82470870648895
44,33.220338197669186
45,33.62561477037112
46,34.0409132147382
47,34.4665883089962
48,34.90304253532398
49,35.35070162452433
50,35.80998817785667
51,36.28136114025707
52,36.76532600876582
53,37.26235553092583
54,37.77301609831178
55,38.29786836603622
56,38.837513479840574
57,39.39258247602739
58,39.963755545068786
59,40.55172487751131
60,41.157258430325435
61,41.78114976448352
62,42.424242656125394
63,43.087448464567686
64,43.77171204438109
65,44.478052690175865
66,45.207584128191044
67,45.96143514541084
68,46.74085257753818
69,47.54716816995399
70,48.381783144668724
71,49.24622693014761
72,50.142122705258544
73,51.07122770590057
74,52.03539763313087
75,53.0366869573221
76,54.07725819985774
77,55.15947448733037
78,56.28589148080392
79,57.45928588338069
80,58.682635413342155
81,59.959214544905294
82,61.292580866902945
83,62.6865726886569
84,64.14546096755383
85,65.6738615216784
86,67.27688527309785
87,68.96012738223654
88,70.72974665669658
89,72.59260364112622
90,74.55620534424413
91,76.62900956856122
92,78.82037881994138
93,81.14075465938596
94,83.60191437843794
95,86.21702317299044
96,89.00100318554513
97,91.97080563191292
98,95.14562365948399
99,98.54748474734004
100,102.20161997965751
101,106.13717745735597
102,110.38800612330887
103,114.99344737913214
104,119.99999971877139
105,125.4623242941021
106,131.44561202141026
107,138.02818187901647
108,145.30474253125678
109,153.39133241337274
110,162.43090348798245
111,172.60267490098107
112,184.1335837823378
113,197.31536451743622
114,212.5301272104156
115,230.28714666846997
116,251.28202179187127
117,276.48900554892276
118,307.31715564542077
119,345.88237805631576
120,395.5155313722917
121,461.78019767927833
122,554.7169266756458
123,694.4881864764153
124,928.4209757930906
125,1399.9999076104732
126,2845.160621020274
127,88200.01712785714
128,88200.01712785714
129,88200.01712785714
130,88200.01712785714
131,88200.01712785714
132,88200.01712785714
133,98.02069256994356
134,98.05052453195503
135,98.08490410836825
136,98.11782558010603
137,98.11938221997538
138,98.1074486120706
139,98.1148637085557
140,98.12785769252322
141,98.11944708050588
142,98.10941582794857
143,98.11466913618216
144,203.90768820826207
145,202.43206574923528
146,199.7984715277786
147,198.91487419565814
148,98.11363142337333
149,98.11523123520291
150,98.11767424143595
